TEAM,CONF,G,W,L,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED
Houston,Amer,32,30,2,118.8,90.2,0.9597,53.2,42.4,15.2,22.4,37,27.5,28.1,35,53.5,43.1,35.1,27.7,63.3,8.2,1
Alabama,SEC,32,27,5,117,90,0.9533,52.7,41.8,18.8,16.1,33.3,27.5,37.3,33.3,54.4,41.8,33.9,27.9,72.9,9.4,1
Purdue,B10,32,27,5,119.4,94.4,0.937,52.4,47,17.4,15.5,38.6,23.7,37.4,18.7,54.4,47.3,32.8,31,63.9,8.2,1
Kansas,B12,32,26,6,114.1,92.5,0.9176,52.5,47,17.1,20,28.6,27.8,29.7,31.9,52.7,47,34.8,31.2,69.1,10.2,1
UCLA,P12,32,28,4,114.2,89.1,0.9454,51.2,47.3,15.6,24.1,34.5,27.4,27.2,27.1,50.8,47.3,34.8,31.6,66.4,8.3,2
Texas,B12,32,24,8,115.9,93.2,0.9244,53,48.1,16.6,22.9,28.1,29.5,31.8,35.6,53.7,47.6,34.5,32.7,69,6.9,2
Arizona,P12,32,26,6,120.8,97.3,0.9235,57,47.7,18.3,17.2,31.1,26.3,36.5,26,56.9,46.2,38,33.4,72.7,6.4,2
Marquette,BE,32,26,6,118.9,98.3,0.8986,56.4,51.5,15.5,23.1,26.7,31.7,27.1,29.5,59.2,50.3,35,35.8,69.1,6.2,2
Gonzaga,WCC,32,28,5,125.1,99.7,0.9314,58.5,51.7,14.6,18.8,31.1,26,34.2,26.7,59,51.2,38.4,35,69.9,7.1,3
Baylor,B12,32,22,10,123,100.7,0.9089,53.1,51.4,18.1,19.9,34.7,31.1,37.2,31.4,50.8,53.3,37.2,32.2,66.9,5.7,3
Xavier,BE,32,24,8,120.3,100.7,0.8859,56.3,50.9,17.5,16.7,31.4,25.7,31.8,27.3,54.6,49,40,36.4,70.7,4.8,3
Kansas St.,B12,32,23,9,111.6,93.7,0.8821,51.5,47.5,20,20.7,31.1,29.2,37,36.7,51.8,48.8,34,30.1,69.9,4.8,3
Connecticut,BE,32,25,7,119.5,93.6,0.943,53.6,45.2,19,19.5,39,26.2,31.6,39,53.4,45.6,35.9,29.5,67.2,5.3,4
Tennessee,SEC,33,23,10,112.3,88.2,0.9417,50.3,42.4,18.1,22.2,36.8,26.9,30.9,34.9,51,44.6,32.9,26.2,65.5,3.2,4
Indiana,B10,31,21,10,113.5,97.3,0.8544,53.9,47.5,17.3,16.6,28.2,27.6,30.3,30.4,53,46.3,37.6,33,68.1,3.3,4
Virginia,ACC,30,24,6,110.7,95.1,0.8521,51.6,48.5,13.6,19.7,25.5,25.1,34.8,25.3,50.5,46.7,35.7,34.2,61.3,3.9,4
Saint Mary's,WCC,32,26,7,113.2,90.6,0.9282,52.5,46.7,16.4,19,33.1,21.8,31.2,30.3,51,45.6,36.7,32.8,62,4,5
San Diego St.,MWC,30,25,6,113.9,91.7,0.9233,50.9,48,17.9,19.7,31.9,25.4,34,30,50,50.3,35.1,29.7,66.1,5.6,5
Duke,ACC,32,24,8,112.3,94.6,0.8778,50.9,46.3,18.3,16.8,36.7,26.2,29.9,23.8,51.4,46.5,33.3,30.5,65.1,3.3,5
Miami FL,ACC,31,25,6,117.8,102,0.8391,55,51,16.6,18.1,32.3,28.9,30.2,23.4,54.7,51.7,37,33.2,68.7,3.9,5
Creighton,BE,32,21,11,115.4,93.6,0.9172,54.6,47.1,16.6,14.3,25.7,22.7,28.3,19.9,54.9,45.5,36.1,33.9,67.8,2.2,6
Iowa St.,B12,31,19,12,110.2,91.4,0.8956,50.9,49.8,19.4,25.1,33.7,26.5,27.9,39.5,51.1,49,33.8,33.9,64.1,3,6
TCU,B12,32,21,11,112.7,94.8,0.8796,50.4,48,17,22.1,32.4,30.7,34.2,29.6,52.5,49.1,30.2,30.7,69.9,2.9,6
Kentucky,SEC,31,21,10,117,99,0.872,51.3,48.5,17.2,16.7,38.3,25.6,32.5,29.7,50.3,48,35.9,32.8,65.8,2.6,6
Texas A&M,SEC,31,23,8,114.8,94.8,0.8997,49.2,47.4,18.2,21.2,36.3,30.2,46.3,35.4,49.5,46.7,32.5,32.2,66.2,3.2,7
Michigan St.,B10,31,19,12,113,96.5,0.8598,51.6,48.1,16.4,14.7,27.4,25.2,25.8,28.6,47.7,48.6,39.5,31.5,64.8,2.4,7
