TEAM,CONF,POSTSEASON,G,W,WIN_PER,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POWER,YEAR,R64,R32,S16,E8,F4,C2,Champions,REGION,games_won
N.C. State,ACC,0.0,33.0,20.0,0.6060606060606061,124.1,104.6,0.8766,55.3,53.0,13.1,18.2,28.5,30.3,35.2,36.5,53.1,52.7,38.8,35.6,69.1,0.34,11,1,2026,0,0,0,0,0,0,0,west,0
UMBC,AE,0.0,32.0,24.0,0.75,107.6,109.2,0.4555,53.9,49.2,14.1,15.2,25.1,25.6,33.8,25.2,54.0,49.7,35.9,32.2,66.0,-5.1,16,0,2026,0,0,0,0,0,0,0,midwest,0
SMU,ACC,0.0,33.0,20.0,0.6060606060606061,123.0,105.0,0.8615,55.7,51.4,15.9,17.1,35.4,31.6,30.6,32.0,55.5,52.0,37.4,33.9,68.6,-0.03,11,1,2026,0,0,0,0,0,0,0,midwest,0
Prairie View A&M,SWAC,0.0,35.0,18.0,0.5142857142857142,101.4,111.4,0.2536,47.9,50.4,16.0,19.1,27.1,34.8,42.8,43.9,47.0,49.4,33.2,35.0,70.9,-12.6,16,0,2026,0,0,0,0,0,0,0,south,0
Texas,SEC,0.0,32.0,18.0,0.5625,124.1,106.4,0.8541,54.2,51.2,15.3,13.4,35.7,26.9,46.2,40.7,55.3,49.8,34.9,36.0,67.1,-0.21,11,1,2026,0,0,0,0,0,0,0,west,0
Lehigh,Pat,0.0,34.0,18.0,0.5294117647058824,102.6,112.8,0.2516,53.3,50.6,17.5,16.3,22.8,31.7,32.2,32.8,52.4,51.2,36.5,32.8,66.9,-12.0,16,0,2026,0,0,0,0,0,0,0,south,0
Howard,MEAC,0.0,33.0,23.0,0.696969696969697,103.4,106.2,0.424,50.6,47.4,19.8,21.3,36.6,32.0,44.2,38.3,49.9,48.3,34.7,30.4,69.0,-6.9,16,0,2026,0,0,0,0,0,0,0,midwest,0
Miami OH,MAC,0.0,32.0,31.0,0.96875,116.7,107.6,0.7178,59.2,50.8,14.5,17.5,25.3,28.1,40.2,30.9,61.5,51.6,37.5,33.0,69.9,2.5,11,0,2026,0,0,0,0,0,0,0,midwest,0
Florida,SEC,0.0,33.0,26.0,0.7878787878787878,126.1,92.3,0.9732,53.5,46.3,16.5,15.4,43.2,24.8,39.1,34.0,57.9,45.2,30.8,32.4,70.4,8.5,1,1,2026,0,0,0,0,0,0,0,south,0
Michigan,B10,0.0,34.0,31.0,0.9117647058823529,127.6,91.0,0.9799,58.1,44.7,16.7,15.5,35.4,27.7,37.7,26.3,61.0,44.3,36.0,30.2,71.2,14.0,1,1,2026,0,0,0,0,0,0,0,midwest,0
BYU,B12,0.0,34.0,23.0,0.6764705882352942,124.7,104.3,0.8866,54.7,51.2,15.3,16.5,34.6,29.3,34.2,28.9,56.2,50.0,34.9,35.3,69.8,4.5,6,1,2026,0,0,0,0,0,0,0,west,0
Tennessee,SEC,S16,36.0,23.0,0.6388888888888888,118.1,93.4,0.9374,49.8,46.5,16.8,16.9,39.7,27.5,41.8,31.5,50.6,44.5,31.9,34.5,63.1,0.4,11,1,2014,1,1,1,0,0,0,0,east,3
