TEAM,CONF,POSTSEASON,G,W,WIN_PER,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POWER,YEAR,R64,R32,S16,E8,F4,C2,Champions,games_won
Indiana,B10,S16,36,29,0.8055555555555556,121.0,89.7,0.9692,54.7,44.0,19.3,20.9,39.0,31.4,45.8,27.0,52.0,43.2,40.3,30.4,67.8,7.8,1,1,2013,1,1,1,0,0,0,0,3
Miami FL,ACC,S16,36,29,0.8055555555555556,112.4,90.8,0.9207,51.9,45.7,16.7,18.4,31.3,28.4,34.6,28.3,50.6,44.0,36.2,32.6,63.0,6.3,2,1,2013,1,1,1,0,0,0,0,3
Marquette,BE,E8,35,26,0.7428571428571429,113.0,93.2,0.902,49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,51.6,44.9,29.6,32.3,64.6,4.5,3,1,2013,1,1,1,1,0,0,0,4
Syracuse,BE,F4,40,30,0.75,113.0,87.0,0.9533,49.0,42.6,18.9,23.6,38.8,34.5,36.8,35.4,48.5,42.6,33.4,28.4,65.4,5.1,4,1,2013,1,1,1,1,1,0,0,5
UNLV,MWC,R64,34,24,0.7058823529411765,104.7,88.4,0.8749,48.9,44.1,20.2,18.5,33.3,27.1,36.7,29.6,48.9,42.6,32.6,31.6,69.3,1.8,5,0,2013,1,0,0,0,0,0,0,1
Butler,A10,R32,35,26,0.7428571428571429,109.2,93.0,0.8624,50.7,46.7,20.2,17.4,35.9,26.3,38.4,36.1,50.2,45.3,34.3,33.2,64.7,4.7,6,0,2013,1,1,0,0,0,0,0,2
Illinois,B10,R32,34,21,0.6176470588235294,109.8,92.7,0.8749,47.5,48.7,17.6,21.7,33.6,33.0,31.0,36.0,47.4,47.4,31.7,34.1,66.1,2.4,7,1,2013,1,1,0,0,0,0,0,2
North Carolina St.,ACC,R64,35,24,0.6857142857142857,115.2,98.0,0.865,54.2,46.8,18.0,16.6,34.7,32.6,40.9,29.0,52.8,47.5,39.1,30.2,68.1,2.2,8,1,2013,1,0,0,0,0,0,0,1
Temple,A10,R32,34,24,0.7058823529411765,110.7,96.9,0.822,49.0,49.0,15.9,20.1,30.8,31.4,35.6,34.1,48.8,47.3,32.8,35.3,66.8,1.5,9,0,2013,1,1,0,0,0,0,0,2
Colorado,P12,R64,33,21,0.6363636363636364,104.9,90.2,0.8513,48.3,45.9,20.0,19.4,33.6,30.4,40.9,25.3,47.0,44.7,34.4,32.0,65.5,1.4,10,1,2013,1,0,0,0,0,0,0,1
Bucknell,Pat,R64,33,27,0.8181818181818182,104.7,93.1,0.7936,49.6,42.5,15.1,14.1,29.3,24.3,35.7,29.4,48.3,41.1,35.8,30.5,63.4,1.0,11,0,2013,1,0,0,0,0,0,0,1
California,P12,R32,33,21,0.6363636363636364,105.4,92.3,0.8211,48.0,44.3,18.9,16.8,32.5,30.7,31.2,32.5,48.8,41.7,30.2,33.6,66.5,0.5,12,1,2013,1,1,0,0,0,0,0,2
Montana,BSky,R64,30,23,0.7666666666666667,101.6,101.8,0.4929,52.9,48.6,19.1,18.3,25.1,30.5,40.6,35.9,52.0,48.0,36.4,33.3,63.9,-1.4,13,0,2013,1,0,0,0,0,0,0,1
Davidson,SC,R64,33,25,0.7575757575757576,110.6,98.3,0.7959,53.1,45.3,17.0,18.8,29.0,28.5,38.9,36.4,52.0,44.3,36.6,32.1,65.2,-1.4,14,0,2013,1,0,0,0,0,0,0,1
Pacific,BW,R64,33,20,0.6060606060606061,104.7,101.1,0.5991,50.5,50.0,17.8,20.0,29.2,30.8,37.7,39.3,46.8,48.0,38.9,35.4,63.4,-5.1,15,0,2013,1,0,0,0,0,0,0,1
James Madison,CAA,R64,36,21,0.5833333333333334,98.5,99.4,0.4736,47.6,48.7,17.2,21.1,29.6,31.1,36.8,39.2,46.2,46.9,33.6,34.7,64.2,-8.9,16,0,2013,1,0,0,0,0,0,0,1
Kansas,B12,S16,37,31,0.8378378378378378,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,67.7,7.5,1,1,2013,1,1,1,0,0,0,0,3
Georgetown,BE,R64,32,25,0.78125,107.6,85.0,0.9381,51.1,43.0,20.1,22.4,30.4,31.0,36.8,35.3,50.2,41.4,35.3,30.7,62.5,6.6,2,1,2013,1,0,0,0,0,0,0,1
