TEAM,SEED,REGION,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,YEAR
Duke,1,east,ACC,34.0,32.0,128.1,90.8,0.9813,56.8,46.2,15.7,18.1,38.1,24.8,37.8,23.7,60.1,46.6,35.1,30.4,65.8,13.7,,26.0
Connecticut,2,east,BE,34.0,29.0,123.1,95.0,0.9518,55.3,45.7,16.8,18.0,35.7,28.7,30.0,40.2,57.1,45.8,35.2,30.3,64.6,8.8,,26.0
Michigan St.,3,east,B10,32.0,25.0,122.9,96.1,0.9438,53.6,48.6,17.1,14.8,38.5,22.6,36.2,30.9,53.4,48.0,35.9,32.9,66.0,7.4,,26.0
Kansas,4,east,B12,33.0,23.0,117.9,94.4,0.928,51.6,45.2,15.5,14.0,29.5,30.1,32.6,27.7,51.1,44.7,35.0,30.7,67.6,6.3,,26.0
St. John's,5,east,BE,34.0,28.0,119.8,94.1,0.9415,51.0,47.4,14.7,19.4,35.9,30.2,41.9,31.8,51.6,47.5,33.2,31.3,69.6,7.3,,26.0
Louisville,6,east,ACC,33.0,23.0,124.0,98.2,0.9365,56.4,48.8,16.4,16.7,32.9,26.9,33.5,33.4,59.7,48.6,35.7,32.7,69.7,4.0,,26.0
UCLA,7,east,B10,34.0,23.0,124.5,101.8,0.9107,53.9,50.4,13.4,18.1,31.1,32.4,33.1,34.7,52.0,52.7,38.2,31.8,64.7,3.6,,26.0
Ohio St.,8,east,B10,33.0,21.0,125.2,101.6,0.9171,56.5,50.3,15.4,15.8,30.8,30.0,37.8,35.1,58.2,52.3,36.0,31.6,66.2,2.9,,26.0
TCU,9,east,B12,33.0,22.0,114.8,99.6,0.8365,50.9,51.0,15.5,19.7,34.4,29.2,38.7,30.4,51.6,51.3,33.1,33.7,67.6,2.4,,26.0
UCF,10,east,B12,32.0,21.0,120,105.7,0.8120,52.8,52.4,15.7,15.8,34.4,28.5,30.8,35.2,52.1,53.2,36.2,34.0,69.2,3.2,,26.0
South Florida,11,east,Amer,33.0,25.0,116.8,101.4,0.8351,50.9,48.4,15.2,18.8,38.2,31.8,41.1,38.8,51.9,46.7,33.1,33.8,71.4,-0.26,,26.0
Northern Iowa,12,east,MVC,35.0,23.0,109.7,98.6,0.7738,54.2,47.2,14.6,18.1,22.0,26.3,25.7,29.3,55.3,50.0,34.9,28.9,62.2,-5.3,,26.0
