G,W,WIN_PER,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POWER,TRAIN
4,0,-0.07534807534807542,8.0,-5.900000000000006,0.2633000000000001,-1.7000000000000028,-2.1000000000000014,1.0,1.0,4.800000000000001,9.599999999999998,0.5,-14.399999999999999,-0.5999999999999943,0.10000000000000142,-3.200000000000003,-4.0000000000000036,-3.0,2.9000000000000004,-5,1,1.0
4,0,-0.08190008190008191,7.5,-8.5,0.36210000000000003,0.3999999999999986,-2.5,-0.0,0.9000000000000021,-0.0,3.599999999999998,3.599999999999998,5.9999999999999964,5.299999999999997,-2.1000000000000014,-4.100000000000001,-2.0,-2.799999999999997,7.4,-7,1,0.0
-1,11,0.373991935483871,6.8999999999999915,-21.200000000000003,0.6295000000000001,3.5,-9.599999999999994,0.3000000000000007,-3.0,-1.0999999999999979,-4.099999999999998,1.7000000000000028,-7.899999999999999,2.8999999999999986,-11.200000000000003,2.8999999999999986,-4.299999999999997,-0.6000000000000085,16.099999999999998,-7,0,1.0
-3,2,0.11283783783783785,1.5999999999999943,-8.600000000000009,0.06479999999999997,3.6000000000000014,-2.1000000000000014,-2.8000000000000007,8.899999999999999,-4.899999999999999,3.0000000000000036,-10.599999999999994,1.6000000000000014,2.700000000000003,-0.6000000000000014,3.5999999999999943,-3.6000000000000014,2.8999999999999915,1.4,-4,-1,1.0
0,5,0.13888888888888884,-4.699999999999989,-9.399999999999991,0.0606000000000001,-1.5999999999999943,-1.5,1.1999999999999993,6.4,0.8000000000000043,0.6000000000000014,3.4000000000000057,-1.4000000000000057,1.1000000000000014,-0.30000000000000426,-4.900000000000002,-2.6999999999999993,0.8999999999999915,4.699999999999999,-4,0,0.0
-4,-3,-0.00659340659340657,-4.700000000000003,-4.099999999999994,0.0021999999999999797,-3.9000000000000057,-0.7999999999999972,0.10000000000000142,3.1999999999999993,-2.0,4.399999999999999,0.09999999999999432,-10.600000000000001,-2.5999999999999943,-1.5999999999999943,-4.200000000000003,0.1999999999999993,3.6000000000000014,1.5,-4,0,1.0
4,3,-0.010835913312693513,11.0,7.099999999999994,0.012400000000000078,8.0,2.1000000000000014,-0.5,-4.0,-6.600000000000001,4.800000000000004,0.5,-12.5,9.300000000000004,4.799999999999997,3.6000000000000014,-2.6999999999999957,1.2999999999999972,4.3999999999999995,-4,1,0.0
-1,0,0.020270270270270285,2.0999999999999943,-3.0999999999999943,0.03210000000000002,-0.5,-1.7000000000000028,-0.10000000000000142,1.5,-3.799999999999997,3.6000000000000014,7.300000000000004,6.0,-0.8000000000000043,2.6000000000000014,-0.0,-7.100000000000001,5.799999999999997,1.3000000000000007,-4,0,0.0
-2,1,0.07189542483660127,7.700000000000003,4.900000000000006,0.01429999999999998,5.200000000000003,0.6000000000000014,2.200000000000003,-7.199999999999999,5.799999999999997,-2.200000000000003,-6.300000000000004,-14.399999999999999,6.300000000000004,-0.3999999999999986,1.8999999999999986,1.6000000000000014,-4.5,6.2,-4,0,1.0
0,7,0.1842105263157895,-5.5,-3.799999999999997,-0.0044999999999999485,-1.5,-5.5,2.900000000000002,-0.1999999999999993,7.699999999999999,-0.5,4.299999999999997,-0.8999999999999986,-1.7999999999999972,-3.8999999999999986,-0.5,-6.599999999999998,4.400000000000006,2.2,-4,0,0.0
0,1,0.027027027027027084,6.200000000000003,1.8999999999999915,0.04159999999999997,-0.8000000000000043,-2.3000000000000043,1.4000000000000021,-4.800000000000001,9.800000000000004,-0.8999999999999986,10.200000000000003,-4.5,-2.1999999999999957,-0.8999999999999986,1.6000000000000014,-2.8999999999999986,3.5,1.7999999999999998,-4,0,0.0
5,11,0.1964285714285714,3.200000000000003,-4.299999999999997,0.07350000000000001,2.5,0.8000000000000043,-5.199999999999999,4.199999999999999,-8.399999999999999,-2.400000000000002,-1.3000000000000007,2.3999999999999986,2.200000000000003,1.0999999999999943,2.3000000000000043,0.6000000000000014,-4.3999999999999915,5.0,-4,0,1.0
2,9,0.20772200772200777,4.0,-1.5,0.05610000000000004,3.799999999999997,-1.2999999999999972,-1.6999999999999993,-2.0,0.7000000000000028,-6.699999999999999,-4.899999999999999,-3.299999999999997,4.600000000000001,-1.2999999999999972,1.7999999999999972,-0.5,-2.0,4.0,-5,-1,0.0
-1,1,0.05397727272727271,3.200000000000003,-4.6000000000000085,0.08009999999999995,-1.5,-2.0999999999999943,-3.0999999999999996,5.6,1.5,4.0,0.1999999999999993,7.699999999999999,-1.1000000000000014,-1.0,-1.0,-2.6999999999999957,-4.3999999999999915,1.7000000000000002,-4,0,1.0
1,4,0.10584677419354838,-1.4000000000000057,-2.799999999999997,0.022299999999999986,-0.10000000000000142,-0.6000000000000014,3.6000000000000014,6.0,3.700000000000003,4.0,11.2,8.100000000000001,4.099999999999994,0.19999999999999574,-5.5,-1.3999999999999986,5.1000000000000085,2.4,-4,0,1.0
2,-7,-0.270772238514174,-0.5,-9.099999999999994,0.09639999999999993,-4.700000000000003,-3.8000000000000043,1.5,3.8000000000000007,6.4999999999999964,2.099999999999998,1.2999999999999972,8.0,-3.299999999999997,-0.29999999999999716,-4.399999999999999,-6.400000000000002,-2.5999999999999943,-0.6999999999999997,-5,1,0.0
0,5,0.15625,6.900000000000006,0.19999999999998863,0.04799999999999993,1.3999999999999986,-1.5,0.6000000000000014,-0.8000000000000007,8.3,-1.4000000000000021,-7.299999999999997,0.20000000000000284,-0.5,-1.1999999999999957,3.8999999999999986,-1.3999999999999986,-2.3999999999999915,4.0,-4,0,0.0
-2,-1,0.014553014553014498,3.0,-1.5999999999999943,0.03610000000000002,0.6000000000000014,0.10000000000000142,-3.1999999999999993,0.6999999999999993,-6.199999999999999,1.6999999999999993,-1.0,-8.799999999999997,-0.20000000000000284,-0.0,1.7000000000000028,0.19999999999999574,0.29999999999999716,5.0,-7,1,1.0
-3,-1,0.03175675675675682,7.799999999999997,3.700000000000003,0.023299999999999987,5.800000000000004,3.3999999999999986,-3.3000000000000007,1.0,-12.600000000000001,0.8000000000000007,-16.9,-10.099999999999998,2.700000000000003,5.300000000000004,7.0,-0.40000000000000213,-3.3000000000000043,3.8000000000000003,-6,0,1.0
5,10,0.16785714285714282,1.2000000000000028,-6.0,0.07440000000000002,0.6999999999999957,-0.6999999999999957,-3.8000000000000007,0.10000000000000142,-6.799999999999997,-4.900000000000002,-6.300000000000001,-2.3999999999999986,1.1000000000000014,1.3999999999999986,0.20000000000000284,-2.299999999999997,-6.599999999999994,6.0,-6,0,0.0
1,-7,-0.248991935483871,-1.2000000000000028,-3.5999999999999943,0.036799999999999944,-3.5,1.2999999999999972,3.3999999999999986,2.3000000000000007,0.8000000000000007,4.399999999999999,7.399999999999999,9.800000000000004,-2.5,3.8999999999999986,-3.299999999999997,-2.5,1.8000000000000114,0.8999999999999999,-6,1,1.0
-2,1,0.06447368421052635,5.5,-0.29999999999999716,0.037900000000000045,3.3999999999999986,1.2000000000000028,-5.400000000000002,-0.8000000000000007,-13.899999999999999,-2.3000000000000007,-9.099999999999994,-9.699999999999996,1.2999999999999972,1.0,4.399999999999999,1.8999999999999986,-2.000000000000007,4.0,-6,0,0.0
-1,-5,-0.13440860215053763,1.1000000000000085,-5.599999999999994,0.07799999999999996,-4.100000000000001,1.7999999999999972,1.2999999999999972,1.3000000000000007,1.5999999999999979,0.5999999999999979,4.399999999999999,3.1000000000000014,-4.299999999999997,5.399999999999999,-2.1999999999999957,-2.900000000000002,-2.0,1.6999999999999997,-4,0,1.0
1,3,0.06951871657754016,-0.7000000000000028,-3.8999999999999915,0.05379999999999996,0.8999999999999986,-0.19999999999999574,1.3000000000000007,1.6999999999999993,0.7999999999999972,-3.599999999999998,5.5000000000000036,-2.8999999999999986,0.10000000000000142,0.8999999999999986,2.400000000000002,-2.0,2.799999999999997,1.3,-7,-1,1.0
2,-1,-0.07532467532467535,4.5,-0.09999999999999432,0.06880000000000008,1.1000000000000014,4.200000000000003,5.1,3.299999999999999,6.599999999999998,2.0,2.6999999999999957,6.700000000000003,1.9000000000000057,4.199999999999996,-1.5,2.700000000000003,1.3000000000000043,3.7,-5,0,0.0
4,2,-0.03125,10.399999999999991,-2.3000000000000114,0.17930000000000001,0.29999999999999716,5.299999999999997,-3.900000000000002,8.3,-1.0,4.200000000000003,-7.099999999999998,5.299999999999997,-1.6000000000000014,7.399999999999999,2.3999999999999986,0.10000000000000142,1.5999999999999943,2.3000000000000003,-7,0,0.0
1,4,0.09663865546218486,-2.5999999999999943,2.299999999999997,-0.057499999999999996,-0.19999999999999574,1.8999999999999986,-5.800000000000001,-0.3000000000000007,-12.900000000000002,0.7999999999999972,-8.5,-12.100000000000001,0.10000000000000142,4.100000000000001,-0.4000000000000057,-1.5,5.5,1.1999999999999997,-5,0,1.0
-4,-4,-0.029484029484029506,2.299999999999997,0.0,0.025499999999999967,-0.5,-1.8999999999999986,-3.1999999999999993,-0.3000000000000007,-4.4999999999999964,3.6000000000000014,2.1000000000000014,1.8000000000000043,0.3999999999999986,-2.5,-1.6999999999999957,-1.0,-1.9000000000000057,0.30000000000000027,-7,0,1.0
2,4,0.06699346405228768,-7.800000000000011,-4.700000000000003,-0.023800000000000043,-1.3000000000000043,-1.6000000000000014,2.3999999999999986,4.200000000000003,-1.2999999999999972,6.100000000000001,0.20000000000000284,-2.0,-1.1999999999999957,-0.20000000000000284,-0.09999999999999432,-3.700000000000003,4.5,2.0,-5,0,0.0
-1,-4,-0.09285714285714286,-2.799999999999997,-11.299999999999997,0.10660000000000003,-0.5,-3.3999999999999986,-0.20000000000000107,-3.5,-1.5,-4.900000000000002,-9.099999999999998,-5.400000000000002,-1.3999999999999986,-3.4000000000000057,0.6000000000000014,-2.400000000000002,-9.000000000000007,2.9999999999999996,-7,0,1.0
4,3,-0.0027649769585252892,5.5,-4.0,0.11650000000000005,-4.0,-1.3999999999999986,-0.10000000000000142,-5.199999999999999,5.300000000000001,-7.5000000000000036,4.600000000000001,-4.100000000000001,-6.299999999999997,-3.3000000000000043,-0.10000000000000142,2.299999999999997,-0.6000000000000085,4.5,-5,1,0.0
3,1,-0.04459203036053139,-3.200000000000003,-3.700000000000003,0.01419999999999999,-4.399999999999999,-1.4000000000000057,-0.20000000000000284,1.2999999999999972,6.800000000000004,2.9999999999999964,-9.699999999999996,-0.29999999999999716,-3.1000000000000014,-1.6999999999999957,-5.100000000000001,-0.7000000000000028,-2.0,3.0999999999999996,-7,0,1.0
-2,1,0.06699346405228768,-4.699999999999989,1.2999999999999972,-0.04910000000000003,0.10000000000000142,0.5,0.09999999999999787,2.400000000000002,-1.6000000000000014,3.8000000000000007,1.1000000000000014,9.899999999999999,-0.8999999999999986,2.200000000000003,1.7000000000000028,-2.8000000000000007,7.699999999999996,3.8000000000000003,-5,0,1.0
7,8,0.07272727272727275,2.299999999999997,-5.5,0.10199999999999998,0.0,-2.6000000000000014,-1.6999999999999993,0.0,-4.700000000000003,1.3999999999999986,-8.300000000000004,2.3000000000000043,-2.1000000000000014,-5.199999999999996,2.3000000000000043,1.8000000000000007,-2.4000000000000057,1.5,-4,0,0.0
2,-4,-0.1662337662337663,-3.700000000000003,-11.799999999999997,0.14279999999999993,-4.399999999999999,-2.700000000000003,0.3000000000000007,2.0,-3.3000000000000043,1.9000000000000021,-4.699999999999996,-11.0,-6.699999999999996,-1.2000000000000028,0.0,-4.400000000000002,7.299999999999997,1.9000000000000001,-7,0,1.0
-2,-1,0.01158301158301156,-4.599999999999994,-10.599999999999994,0.09189999999999998,-2.1000000000000014,-3.5999999999999943,-0.9000000000000021,3.099999999999998,-4.299999999999997,0.8000000000000007,1.6999999999999957,-13.2,0.7000000000000028,-2.3999999999999986,-5.300000000000004,-3.900000000000002,0.0,3.9,-5,1,1.0
-3,4,0.17676767676767668,-9.899999999999991,-11.0,0.041100000000000025,-0.3999999999999986,-3.1000000000000014,2.8000000000000007,3.6000000000000014,-5.300000000000001,-6.600000000000001,3.299999999999997,-7.0,-1.0,-2.8999999999999986,1.1999999999999993,-2.5,1.0,3.1999999999999997,-7,-1,0.0
