RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB
1,Houston,B12,34,30-4,"124.8
9","88.0
1",".9824
1","52.7
88","44.9
4","14.6
25","21.7
17","36.1
15","29.3
157","28.2
315","34.1
211","49.0
267","43.9
5","39.8
2","30.9
33","34.5
296","43.1
306","61.4
360",11.6
2,Duke,ACC,34,31-3,"128.4
2","91.3
4",".9807
2","57.4
5","44.5
3","14.4
19","17.7
134","35.2
35","26.5
36","32.1
201","25.4
21","58.0
8","43.4
3","37.7
20","30.9
33","45.4
51","37.9
142","65.7
267",9.6
3,Auburn,SEC,33,28-5,"129.0
1","93.7
12",".9756
3","55.7
25","46.0
11","13.4
6","17.4
155","34.3
51","30.3
211","33.5
166","39.2
312","56.1
30","47.2
41","36.8
39","29.2
5","40.6
138","34.8
50","67.8
143",12.5
4,Florida,SEC,34,30-4,"127.7
3","94.0
13",".9713
4","55.0
37","45.3
6","15.0
36","17.0
184","38.1
8","28.8
126","32.6
188","33.0
176","56.4
27","45.9
14","35.5
83","29.6
7","43.6
73","37.3
120","69.5
64","+11.1
3"
5,Alabama,SEC,33,25-8,"127.6
4","96.4
28",".9621
5","56.3
14","47.9
50","16.7
149","13.5
348","34.7
39","29.2
149","40.1
25","33.9
206","59.7
4","48.8
92","35.0
107","30.8
29","46.2
41","35.1
56","74.6
1","+9.8
4"
6,Tennessee,SEC,34,27-7,"119.3
19","91.1
3",".9570
6","52.8
84","44.4
1","16.0
95","17.8
126","35.4
28","30.1
202","35.4
110","29.4
85","54.1
66","46.7
29","34.0
164","27.8
1","43.0
82","45.1
340","63.8
336","+9.3
6"
7,Texas Tech,B12,33,25-8,"126.0
6","96.7
32",".9546
7","55.5
27","48.0
53","14.8
30","17.4
155","34.3
51","28.5
108","29.7
280","33.5
196","54.3
63","48.2
69","37.9
19","31.7
61","44.6
59","34.1
29","65.6
273","+5.8
11"
8,Iowa St.,B12,33,24-9,"118.9
20","92.3
8",".9480
8","54.6
44","48.4
63","16.9
159","21.8
14","32.2
107","28.4
102","38.5
40","28.9
74","55.1
44","47.5
50","35.8
67","33.2
130","36.9
230","40.7
246","68.5
106","+5.4
14"
9,Arizona,B12,34,22-12,"124.0
10","96.5
30",".9470
9","52.9
83","48.6
74","16.2
108","16.6
212","35.9
19","28.5
108","36.6
71","29.2
80","55.1
44","47.2
41","32.4
247","33.6
168","34.6
291","41.9
284","69.9
52","+5.4
15"
10,Maryland,B10,33,25-8,"117.8
28","92.1
6",".9447
10","53.8
57","47.0
25","14.5
23","20.2
38","31.0
146","27.2
55","32.9
180","25.9
26","52.7
114","47.6
53","37.2
28","30.7
25","35.5
270","35.8
81","69.8
54","+4.6
22"
11,Gonzaga,WCC,33,25-8,"123.3
12","96.4
29",".9440
11","55.7
25","47.5
37","13.2
4","18.2
103","32.7
95","26.4
34","30.9
245","28.6
67","57.8
10","49.1
106","34.4
145","30.2
15","33.5
313","40.6
242","70.1
47","+2.7
33"
12,Wisconsin,B10,35,26-9,"122.4
14","96.1
26",".9419
12","53.6
63","47.9
50","14.1
17","14.5
331","28.0
237","26.6
41","33.8
153","28.1
55","54.7
50","46.8
32","34.9
117","33.0
123","48.1
18","39.1
189","67.5
163","+6.0
10"
13,Michigan St.,B10,33,27-6,"116.8
37","91.8
5",".9410
13","51.2
147","46.1
12","16.6
137","16.4
228","35.3
31","24.6
8","37.8
47","33.1
182","53.6
85","49.1
106","30.8
325","27.9
2","32.7
329","41.4
273","67.9
139","+7.9
8"
